# qwen4exp_real_gate	label=mtp10-defaults	binary_sha256=abdca1508b2a37fb50af93470559320813b7a51e67349565027f86dc8a622e03	ckpt=/home/ubuntu/data/q48fn-nvfp4	host_bf16_banks=false	indexer_norm_raw=false	mtp_dev1=false	spec_opts=SpecOpts { dynk: None, adapt_k_lo: None, pmin: 0.0 }
# timing lines are UNTUNED EAGER wall clocks under correctness-arm residency — NOT perf claims
# verify-bit-gate: plain t==1 rows vs t==6 chunk rows, same fed tokens, n=24
row	abs_pos	chunk	bit_identical
0	10	0	true
1	11	0	true
2	12	0	true
3	13	0	true
4	14	0	true
5	15	0	true
6	16	1	true
7	17	1	true
8	18	1	true
9	19	1	true
10	20	1	true
11	21	1	true
12	22	2	true
13	23	2	true
14	24	2	true
15	25	2	true
16	26	2	true
17	27	2	true
18	28	3	true
19	29	3	true
20	30	3	true
21	31	3	true
22	32	3	true
23	33	3	true
# verdict	rows=24	mismatched=0	policy=bit-identity	pass=true
